Branch,Quarter,Date,Scenario,Volume
Vijayawada,Q1,01-04-2023,Baseline,19822.5
Vijayawada,Q2,01-07-2023,Baseline,6444
Vijayawada,Q3,01-10-2023,Baseline,14548.5
Vijayawada,Q4,01-01-2024,Baseline,23846
Vijayawada,Q1,01-04-2024,Baseline,33477
Vijayawada,Q2,01-07-2024,Baseline,6595
Vijayawada,Q3,01-10-2024,Baseline,16884
Vijayawada,Q4,01-01-2025,Baseline,25869
Vijayawada, Q1      ,01-04-2025,Baseline,36877.5
Vijayawada, Q2      ,01-07-2025,Baseline,6945.2
Vijayawada, Q3      ,01-10-2025,Baseline,18564.3
Vijayawada, Q4      ,01-01-2026,Baseline,28459.8
Vijayawada, Q1      ,01-04-2026,Baseline,40278.6
Vijayawada, Q2      ,01-07-2026,Baseline,7295.7
Vijayawada, Q3      ,01-10-2026,Baseline,20344.8
Vijayawada, Q4      ,01-01-2027,Baseline,31050.7
Vijayawada, Q1      ,01-04-2027,Baseline,43679.7
Vijayawada, Q2      ,01-07-2027,Baseline,7646.2
Vijayawada, Q3      ,01-10-2027,Baseline,22125.3
Vijayawada, Q4      ,01-01-2028,Baseline,33641.6
Vijayawada, Q1      ,01-04-2028,Baseline,47080.8
Vijayawada, Q2      ,01-07-2028,Baseline,7996.7
Vijayawada, Q3      ,01-10-2028,Baseline,23905.8
Vijayawada, Q4      ,01-01-2029,Baseline,36232.5
Vijayawada,2,01-04-2029,Baseline,48723.39329900275
Vijayawada,3,01-07-2029,Baseline,10284.092214731223
Vijayawada,4,01-10-2029,Baseline,26222.493752987433
Bangalore,Q1,01-04-2019,Optimistic,6999.474999999999
Bangalore,Q2,01-07-2019,Optimistic,5089.325
Bangalore,Q3,01-10-2019,Optimistic,6759.7
Bangalore,Q4,01-01-2020,Optimistic,6978.2
Bangalore,Q1,01-04-2020,Optimistic,2019.975
Bangalore,Q2,01-07-2020,Optimistic,3527.6249999999995
Bangalore,Q3,01-10-2020,Optimistic,6579.15
Bangalore,Q4,01-01-2021,Optimistic,6809.15
Bangalore,Q1,01-04-2021,Optimistic,3991.6499999999996
Bangalore,Q2,01-07-2021,Optimistic,4770.775
Bangalore,Q3,01-10-2021,Optimistic,7272.025
Bangalore,Q4,01-01-2022,Optimistic,12819.05
Bangalore,Q1,01-04-2022,Optimistic,7677.974999999999
Bangalore,Q2,01-07-2022,Optimistic,5127.849999999999
Bangalore,Q3,01-10-2022,Optimistic,7891.874999999999
Bangalore,Q4,01-01-2023,Optimistic,12534.999999999998
Bangalore,Q1,01-04-2023,Optimistic,8343.824999999999
Bangalore,Q2,01-07-2023,Optimistic,7274.325
Bangalore,Q3,01-10-2023,Optimistic,9340.875
Bangalore,Q4,01-01-2024,Optimistic,17665.725
Bangalore,Q1,01-04-2024,Optimistic,15344.449999999999
Bangalore,Q2,01-07-2024,Optimistic,7444.887191591545
Bangalore,Q3,01-10-2024,Optimistic,10840.698560863706
Bangalore,Q4,01-01-2025,Optimistic,19164.16343752199
Bangalore, Q1      ,01-04-2025,Optimistic,16351.505
Bangalore, Q2      ,01-07-2025,Optimistic,7929.48
Bangalore, Q3      ,01-10-2025,Optimistic,11552.094999999998
Bangalore, Q4      ,01-01-2026,Optimistic,20576.489999999998
Bangalore, Q1      ,01-04-2026,Optimistic,17519.215
Bangalore, Q2      ,01-07-2026,Optimistic,8489.759999999998
Bangalore, Q3      ,01-10-2026,Optimistic,12507.974999999999
Bangalore, Q4      ,01-01-2027,Optimistic,21993.519999999997
Bangalore, Q1      ,01-04-2027,Optimistic,18687.155
Bangalore, Q2      ,01-07-2027,Optimistic,9050.039999999999
Bangalore, Q3      ,01-10-2027,Optimistic,13463.855
Bangalore, Q4      ,01-01-2028,Optimistic,23410.435
Bangalore, Q1      ,01-04-2028,Optimistic,19855.094999999998
Bangalore, Q2      ,01-07-2028,Optimistic,9610.319999999998
Bangalore, Q3      ,01-10-2028,Optimistic,14419.734999999999
Bangalore, Q4      ,01-01-2029,Optimistic,24827.464999999997
Bangalore,2,01-04-2029,Optimistic,21045.971349929376
Bangalore,3,01-07-2029,Optimistic,11221.333839540317
Bangalore,4,01-10-2029,Optimistic,15972.170519115369
Chennai,Q1,01-04-2019,Optimistic,36065.149999999994
Chennai,Q2,01-07-2019,Optimistic,17308.074999999997
Chennai,Q3,01-10-2019,Optimistic,15154.124999999998
Chennai,Q4,01-01-2020,Optimistic,26937.6
Chennai,Q1,01-04-2020,Optimistic,17678.375
Chennai,Q2,01-07-2020,Optimistic,16237.425
Chennai,Q3,01-10-2020,Optimistic,19883.5
Chennai,Q4,01-01-2021,Optimistic,23899.3
Chennai,Q1,01-04-2021,Optimistic,31961.949999999997
Chennai,Q2,01-07-2021,Optimistic,18020.5
Chennai,Q3,01-10-2021,Optimistic,22759.074999999997
Chennai,Q4,01-01-2022,Optimistic,24935.449999999997
Chennai,Q1,01-04-2022,Optimistic,40130.399999999994
Chennai,Q2,01-07-2022,Optimistic,16801.5
Chennai,Q3,01-10-2022,Optimistic,29401.475
Chennai,Q4,01-01-2023,Optimistic,32251.749999999996
Chennai,Q1,01-04-2023,Optimistic,44806.299999999996
Chennai,Q2,01-07-2023,Optimistic,22062.175
Chennai,Q3,01-10-2023,Optimistic,34719.649999999994
Chennai,Q4,01-01-2024,Optimistic,51983.45
Chennai,Q1,01-04-2024,Optimistic,74904.09999999999
Chennai,Q2,01-07-2024,Optimistic,22579.470133125913
Chennai,Q3,01-10-2024,Optimistic,40294.432779444316
Chennai,Q4,01-01-2025,Optimistic,56392.779342271635
Chennai, Q1      ,01-04-2025,Optimistic,80782.095
Chennai, Q2      ,01-07-2025,Optimistic,24193.93
Chennai, Q3      ,01-10-2025,Optimistic,44289.259999999995
Chennai, Q4      ,01-01-2026,Optimistic,62037.55499999999
Chennai, Q1      ,01-04-2026,Optimistic,88960.31999999999
Chennai, Q2      ,01-07-2026,Optimistic,25807.725
Chennai, Q3      ,01-10-2026,Optimistic,48260.095
Chennai, Q4      ,01-01-2027,Optimistic,67682.32999999999
Chennai, Q1      ,01-04-2027,Optimistic,97138.545
Chennai, Q2      ,01-07-2027,Optimistic,27421.519999999997
Chennai, Q3      ,01-10-2027,Optimistic,52230.92999999999
Chennai, Q4      ,01-01-2028,Optimistic,73327.105
Chennai, Q1      ,01-04-2028,Optimistic,105316.76999999999
Chennai, Q2      ,01-07-2028,Optimistic,29035.314999999995
Chennai, Q3      ,01-10-2028,Optimistic,56201.76499999999
Chennai, Q4      ,01-01-2029,Optimistic,78971.87999999999
Chennai,2,01-04-2029,Optimistic,109151.31355491315
Chennai,3,01-07-2029,Optimistic,33770.80912482929
Chennai,4,01-10-2029,Optimistic,60836.93594345426
Cochin,Q1,01-04-2019,Optimistic,4361.95
Cochin,Q2,01-07-2019,Optimistic,4674.174999999999
Cochin,Q3,01-10-2019,Optimistic,4130.224999999999
Cochin,Q4,01-01-2020,Optimistic,6511.874999999999
Cochin,Q1,01-04-2020,Optimistic,1634.1499999999999
Cochin,Q2,01-07-2020,Optimistic,3028.5249999999996
Cochin,Q3,01-10-2020,Optimistic,5649.375
Cochin,Q4,01-01-2021,Optimistic,6675.174999999999
Cochin,Q1,01-04-2021,Optimistic,4177.375
Cochin,Q2,01-07-2021,Optimistic,2962.975
Cochin,Q3,01-10-2021,Optimistic,6157.099999999999
Cochin,Q4,01-01-2022,Optimistic,9534.65
Cochin,Q1,01-04-2022,Optimistic,4698.9
Cochin,Q2,01-07-2022,Optimistic,4655.775
Cochin,Q3,01-10-2022,Optimistic,6261.174999999999
Cochin,Q4,01-01-2023,Optimistic,8288.05
Cochin,Q1,01-04-2023,Optimistic,7968.924999999999
Cochin,Q2,01-07-2023,Optimistic,9776.15
Cochin,Q3,01-10-2023,Optimistic,10498.349999999999
Cochin,Q4,01-01-2024,Optimistic,21694.75
Cochin,Q1,01-04-2024,Optimistic,24063.749999999996
Cochin,Q2,01-07-2024,Optimistic,10005.372858385852
Cochin,Q3,01-10-2024,Optimistic,12184.024273576408
Cochin,Q4,01-01-2025,Optimistic,23534.93755485148
Cochin, Q1      ,01-04-2025,Optimistic,26467.71
Cochin, Q2      ,01-07-2025,Optimistic,10528.594999999998
Cochin, Q3      ,01-10-2025,Optimistic,13391.98
Cochin, Q4      ,01-01-2026,Optimistic,25950.67
Cochin, Q1      ,01-04-2026,Optimistic,28883.285
Cochin, Q2      ,01-07-2026,Optimistic,11051.96
Cochin, Q3      ,01-10-2026,Optimistic,14715.055
Cochin, Q4      ,01-01-2027,Optimistic,28377.744999999995
Cochin, Q1      ,01-04-2027,Optimistic,31298.86
Cochin, Q2      ,01-07-2027,Optimistic,11575.324999999999
Cochin, Q3      ,01-10-2027,Optimistic,16038.13
Cochin, Q4      ,01-01-2028,Optimistic,30804.819999999996
Cochin, Q1      ,01-04-2028,Optimistic,33714.435
Cochin, Q2      ,01-07-2028,Optimistic,12098.689999999999
Cochin, Q3      ,01-10-2028,Optimistic,17361.204999999998
Cochin, Q4      ,01-01-2029,Optimistic,33231.895
Cochin,2,01-04-2029,Optimistic,34904.05036854506
Cochin,3,01-07-2029,Optimistic,13694.738035941285
Cochin,4,01-10-2029,Optimistic,19044.96754773769
Secundarabad,Q1,01-04-2019,Optimistic,13702.824999999999
Secundarabad,Q2,01-07-2019,Optimistic,6882.749999999999
Secundarabad,Q3,01-10-2019,Optimistic,15254.749999999998
Secundarabad,Q4,01-01-2020,Optimistic,29638.374999999996
Secundarabad,Q1,01-04-2020,Optimistic,4405.65
Secundarabad,Q2,01-07-2020,Optimistic,6103.049999999999
Secundarabad,Q3,01-10-2020,Optimistic,12046.249999999998
Secundarabad,Q4,01-01-2021,Optimistic,29208.274999999998
Secundarabad,Q1,01-04-2021,Optimistic,16051.124999999998
Secundarabad,Q2,01-07-2021,Optimistic,9109.15
Secundarabad,Q3,01-10-2021,Optimistic,23749.225
Secundarabad,Q4,01-01-2022,Optimistic,22249.05
Secundarabad,Q1,01-04-2022,Optimistic,24383.449999999997
Secundarabad,Q2,01-07-2022,Optimistic,8538.75
Secundarabad,Q3,01-10-2022,Optimistic,26483.925
Secundarabad,Q4,01-01-2023,Optimistic,35679.899999999994
Secundarabad,Q1,01-04-2023,Optimistic,22136.925
Secundarabad,Q2,01-07-2023,Optimistic,12362.499999999998
Secundarabad,Q3,01-10-2023,Optimistic,41221.174999999996
Secundarabad,Q4,01-01-2024,Optimistic,47635.299999999996
Secundarabad,Q1,01-04-2024,Optimistic,46190.899999999994
Secundarabad,Q2,01-07-2024,Optimistic,12652.3
Secundarabad,Q3,01-10-2024,Optimistic,47839.87929392172
Secundarabad,Q4,01-01-2025,Optimistic,51675.81147082212
Secundarabad, Q1      ,01-04-2025,Optimistic,48581.865
Secundarabad, Q2      ,01-07-2025,Optimistic,13233.28
Secundarabad, Q3      ,01-10-2025,Optimistic,52628.945
Secundarabad, Q4      ,01-01-2026,Optimistic,56919.939999999995
Secundarabad, Q1      ,01-04-2026,Optimistic,50972.829999999994
Secundarabad, Q2      ,01-07-2026,Optimistic,13814.259999999998
Secundarabad, Q3      ,01-10-2026,Optimistic,57419.15499999999
Secundarabad, Q4      ,01-01-2027,Optimistic,62164.51499999999
Secundarabad, Q1      ,01-04-2027,Optimistic,53363.795
Secundarabad, Q2      ,01-07-2027,Optimistic,14395.24
Secundarabad, Q3      ,01-10-2027,Optimistic,62209.36499999999
Secundarabad, Q4      ,01-01-2028,Optimistic,67409.09
Secundarabad, Q1      ,01-04-2028,Optimistic,55754.759999999995
Secundarabad, Q2      ,01-07-2028,Optimistic,14976.219999999998
Secundarabad, Q3      ,01-10-2028,Optimistic,66999.575
Secundarabad, Q4      ,01-01-2029,Optimistic,72653.665
Secundarabad,2,01-04-2029,Optimistic,60057.903523483896
Secundarabad,3,01-07-2029,Optimistic,20078.92616167449
Secundarabad,4,01-10-2029,Optimistic,71238.71441046419
Vijayawada,Q1,01-04-2019,Optimistic,22004.1
Vijayawada,Q2,01-07-2019,Optimistic,4839.2
Vijayawada,Q3,01-10-2019,Optimistic,7808.499999999999
Vijayawada,Q4,01-01-2020,Optimistic,13298.599999999999
Vijayawada,Q1,01-04-2020,Optimistic,5480.9
Vijayawada,Q2,01-07-2020,Optimistic,6403.2
Vijayawada,Q3,01-10-2020,Optimistic,8998.75
Vijayawada,Q4,01-01-2021,Optimistic,13066.874999999998
Vijayawada,Q1,01-04-2021,Optimistic,12578.699999999999
Vijayawada,Q2,01-07-2021,Optimistic,6252.549999999999
Vijayawada,Q3,01-10-2021,Optimistic,7158.174999999999
Vijayawada,Q4,01-01-2022,Optimistic,11088.3
Vijayawada,Q1,01-04-2022,Optimistic,12861.599999999999
Vijayawada,Q2,01-07-2022,Optimistic,5812.674999999999
Vijayawada,Q3,01-10-2022,Optimistic,6250.249999999999
Vijayawada,Q4,01-01-2023,Optimistic,14993.124999999998
Vijayawada,Q1,01-04-2023,Optimistic,22795.875
Vijayawada,Q2,01-07-2023,Optimistic,7410.599999999999
Vijayawada,Q3,01-10-2023,Optimistic,16730.774999999998
Vijayawada,Q4,01-01-2024,Optimistic,27422.899999999998
Vijayawada,Q1,01-04-2024,Optimistic,38498.549999999996
Vijayawada,Q2,01-07-2024,Optimistic,7584.249999999999
Vijayawada,Q3,01-10-2024,Optimistic,19416.6
Vijayawada,Q4,01-01-2025,Optimistic,29749.35
Vijayawada, Q1      ,01-04-2025,Optimistic,42409.125
Vijayawada, Q2      ,01-07-2025,Optimistic,7986.98
Vijayawada, Q3      ,01-10-2025,Optimistic,21348.944999999996
Vijayawada, Q4      ,01-01-2026,Optimistic,32728.769999999997
Vijayawada, Q1      ,01-04-2026,Optimistic,46320.38999999999
Vijayawada, Q2      ,01-07-2026,Optimistic,8390.054999999998
Vijayawada, Q3      ,01-10-2026,Optimistic,23396.519999999997
Vijayawada, Q4      ,01-01-2027,Optimistic,35708.305
Vijayawada, Q1      ,01-04-2027,Optimistic,50231.65499999999
Vijayawada, Q2      ,01-07-2027,Optimistic,8793.13
Vijayawada, Q3      ,01-10-2027,Optimistic,25444.094999999998
Vijayawada, Q4      ,01-01-2028,Optimistic,38687.84
Vijayawada, Q1      ,01-04-2028,Optimistic,54142.92
Vijayawada, Q2      ,01-07-2028,Optimistic,9196.205
Vijayawada, Q3      ,01-10-2028,Optimistic,27491.67
Vijayawada, Q4      ,01-01-2029,Optimistic,41667.375
Vijayawada,2,01-04-2029,Optimistic,56031.90229385316
Vijayawada,3,01-07-2029,Optimistic,11826.706046940906
Vijayawada,4,01-10-2029,Optimistic,30155.867815935548
Bangalore,Q1,01-04-2019,Pessimistic,5173.525
Bangalore,Q2,01-07-2019,Pessimistic,3761.6749999999997
Bangalore,Q3,01-10-2019,Pessimistic,4996.3
Bangalore,Q4,01-01-2020,Pessimistic,5157.8
Bangalore,Q1,01-04-2020,Pessimistic,1493.0249999999999
Bangalore,Q2,01-07-2020,Pessimistic,2607.375
Bangalore,Q3,01-10-2020,Pessimistic,4862.849999999999
Bangalore,Q4,01-01-2021,Pessimistic,5032.849999999999
Bangalore,Q1,01-04-2021,Pessimistic,2950.35
Bangalore,Q2,01-07-2021,Pessimistic,3526.225
Bangalore,Q3,01-10-2021,Pessimistic,5374.974999999999
Bangalore,Q4,01-01-2022,Pessimistic,9474.949999999999
Bangalore,Q1,01-04-2022,Pessimistic,5675.025
Bangalore,Q2,01-07-2022,Pessimistic,3790.15
Bangalore,Q3,01-10-2022,Pessimistic,5833.125
Bangalore,Q4,01-01-2023,Pessimistic,9265
Bangalore,Q1,01-04-2023,Pessimistic,6167.175
Bangalore,Q2,01-07-2023,Pessimistic,5376.675
Bangalore,Q3,01-10-2023,Pessimistic,6904.125
Bangalore,Q4,01-01-2024,Pessimistic,13057.275
Bangalore,Q1,01-04-2024,Pessimistic,11341.55
Bangalore,Q2,01-07-2024,Pessimistic,5502.742706828534
Bangalore,Q3,01-10-2024,Pessimistic,8012.690240638392
Bangalore,Q4,01-01-2025,Pessimistic,14164.816453820604
Bangalore, Q1      ,01-04-2025,Pessimistic,12085.895
Bangalore, Q2      ,01-07-2025,Pessimistic,5860.92
Bangalore, Q3      ,01-10-2025,Pessimistic,8538.505
Bangalore, Q4      ,01-01-2026,Pessimistic,15208.71
Bangalore, Q1      ,01-04-2026,Pessimistic,12948.985
Bangalore, Q2      ,01-07-2026,Pessimistic,6275.04
Bangalore, Q3      ,01-10-2026,Pessimistic,9245.025
Bangalore, Q4      ,01-01-2027,Pessimistic,16256.079999999998
Bangalore, Q1      ,01-04-2027,Pessimistic,13812.245
Bangalore, Q2      ,01-07-2027,Pessimistic,6689.16
Bangalore, Q3      ,01-10-2027,Pessimistic,9951.545
Bangalore, Q4      ,01-01-2028,Pessimistic,17303.365
Bangalore, Q1      ,01-04-2028,Pessimistic,14675.505
Bangalore, Q2      ,01-07-2028,Pessimistic,7103.279999999999
Bangalore, Q3      ,01-10-2028,Pessimistic,10658.064999999999
Bangalore, Q4      ,01-01-2029,Pessimistic,18350.734999999997
Bangalore,2,01-04-2029,Pessimistic,15555.717954295626
Bangalore,3,01-07-2029,Pessimistic,8294.029359660235
Bangalore,4,01-10-2029,Pessimistic,11805.517340215709
Chennai,Q1,01-04-2019,Pessimistic,26656.85
Chennai,Q2,01-07-2019,Pessimistic,12792.925
Chennai,Q3,01-10-2019,Pessimistic,11200.875
Chennai,Q4,01-01-2020,Pessimistic,19910.399999999998
Chennai,Q1,01-04-2020,Pessimistic,13066.625
Chennai,Q2,01-07-2020,Pessimistic,12001.574999999999
